galaxy_ID,Mb,Md,Mh_r90,Mh_2r90,Mh_3r90,M_HI,M_HII,Mtot_r90,Mtot_2r90,Mtot_3r90,NSA_Mstar,Mtot_(star_HI_Hii),M_h1,M_h2
9501-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29907300000.0,nan,nan,nan
9501-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13955300000.0,nan,nan,nan
9501-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2914230000.0,nan,nan,nan
9501-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5451370000.0,nan,nan,nan
9501-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1611180000.0,nan,nan,nan
9501-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12291100000.0,nan,nan,nan
9501-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17276200000.0,nan,nan,nan
9501-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2227320000.0,nan,nan,nan
9501-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7144880000.0,nan,nan,nan
9501-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2317130000.0,nan,nan,nan
9501-6102,138150871195.44095,2152961858324.9941,297389644.49204797,618795278.7023386,845265236.0861357,nan,nan,2291410119164.9272,2291731524799.137,2291957994756.521,17136100000.0,17136100000.0,0.0,1e-99
9501-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,750239000.0,nan,nan,nan
9501-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106228000000.0,nan,nan,nan
9501-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5010970000.0,nan,nan,nan
9501-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15296800000.0,nan,nan,nan
9502-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,111484000000.0,nan,nan,nan
9502-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2603030000.0,nan,nan,nan
9502-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,49492600000.0,nan,nan,nan
9502-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12773300000.0,nan,nan,nan
9502-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11273100000.0,nan,nan,nan
9502-1901,4821398674.527712,503484956660.6111,4836064252.444613,6958649414.878733,8251727507.850913,nan,nan,513142419587.58344,515265004750.0175,516558082842.9897,2737470000.0,2737470000.0,0.0,1e-99
9502-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2011580000.0,nan,nan,nan
9502-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7896080000.0,nan,nan,nan
9502-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,61229000000.0,nan,nan,nan
9502-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3902660000.0,nan,nan,nan
9502-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6561070000.0,nan,nan,nan
9502-6101,123315768335.0287,48855231836.22943,183088303.49550104,236902867.4628152,268881249.50425166,nan,nan,172354088474.75363,172407903038.72095,172439881420.76236,28383200000.0,28383200000.0,1e-99,1e-99
9502-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,313518000.0,nan,nan,nan
9502-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30046400000.0,nan,nan,nan
9502-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30438000000.0,nan,nan,nan
9502-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,123797000000.0,nan,nan,nan
9502-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2685420000.0,nan,nan,nan
9503-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41652200000.0,nan,nan,nan
9503-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7590430000.0,nan,nan,nan
9503-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,949424000.0,nan,nan,nan
9503-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10749300000.0,nan,nan,nan
9503-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1020380000.0,nan,nan,nan
9503-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,504030000.0,nan,nan,nan
9503-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5134230000.0,nan,nan,nan
