galaxy_ID,rho0_b,Rb,SigD,Rd,rho0_h,Rh,incl,phi,x_cen,y_cen,Vsys,chi2
9038-6103,-6.999946569,7.978921771,564.2136284,13.303871,-2.70887098,0.853782185,0.620473879,2.639959553,36.99995965,36.99976676,-0.095184174,151.8664152
9038-6104,-0.505279054,8.032862108,478.882395,1.937672738,-6.999949142,1.991172119,0.100050605,2.378477133,35.69644068,16.62055733,6.814065776,189.8800048
9038-9101,-0.258625565,5.758479726,383.1536944,29.06015336,0.458406532,1.463922454,0.101804635,5.197918611,41.11074479,37.37488757,36.76965413,13.31695512
9038-9102,-0.161167507,0.684097442,1050.45364,19.4394893,-1.619361315,1.873389491,0.50922908,2.691200793,35.31333399,30.22772131,6.594512739,17.03755557
9039-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9039-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9039-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9039-12704,0.999999606,3.85763686,2993.9353,4.140793929,-0.382635381,7.283912263,0.126881689,3.750397056,39.53780218,41.68223886,-22.45254373,120.584708
9039-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9039-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9039-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9039-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9039-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9039-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9039-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9039-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9039-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9039-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9039-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9039-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9039-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9040-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9040-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9040-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9040-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9040-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9040-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9040-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9040-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9040-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9040-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9040-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9040-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9040-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9040-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9040-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9040-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9040-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
